,dates
1498,07/11/2018
1499,08/11/2018
1500,09/11/2018
1501,12/11/2018
1502,13/11/2018
1503,14/11/2018
1504,15/11/2018
1505,16/11/2018
1506,19/11/2018
1507,20/11/2018
1508,21/11/2018
1509,22/11/2018
1510,23/11/2018
1511,26/11/2018
1512,27/11/2018
1513,28/11/2018
1514,29/11/2018
1515,30/11/2018
1516,03/12/2018
1517,04/12/2018
1518,05/12/2018
1519,06/12/2018
1520,07/12/2018
1521,10/12/2018
1522,11/12/2018
1523,12/12/2018
1524,13/12/2018
1525,14/12/2018
1526,17/12/2018
1527,18/12/2018
1528,19/12/2018
1529,20/12/2018
1530,21/12/2018
1531,24/12/2018
1532,27/12/2018
1533,28/12/2018
1534,31/12/2018
