,dates
356,23/05/2014
357,26/05/2014
358,27/05/2014
359,28/05/2014
360,29/05/2014
361,30/05/2014
362,02/06/2014
363,03/06/2014
364,04/06/2014
365,05/06/2014
366,06/06/2014
367,09/06/2014
368,10/06/2014
369,11/06/2014
370,12/06/2014
371,13/06/2014
372,16/06/2014
373,17/06/2014
374,18/06/2014
375,19/06/2014
376,20/06/2014
377,23/06/2014
378,24/06/2014
379,25/06/2014
380,26/06/2014
381,27/06/2014
382,30/06/2014
383,01/07/2014
384,02/07/2014
385,03/07/2014
386,04/07/2014
387,07/07/2014
388,08/07/2014
389,09/07/2014
390,10/07/2014
391,11/07/2014
392,14/07/2014
393,15/07/2014
394,16/07/2014
395,17/07/2014
396,18/07/2014
397,21/07/2014
398,22/07/2014
399,23/07/2014
400,24/07/2014
401,25/07/2014
402,28/07/2014
403,29/07/2014
404,30/07/2014
405,31/07/2014
406,01/08/2014
407,04/08/2014
408,05/08/2014
409,06/08/2014
410,07/08/2014
411,08/08/2014
412,11/08/2014
413,12/08/2014
414,13/08/2014
415,14/08/2014
416,15/08/2014
417,18/08/2014
418,19/08/2014
419,20/08/2014
420,21/08/2014
421,22/08/2014
422,25/08/2014
423,26/08/2014
424,27/08/2014
425,28/08/2014
426,29/08/2014
427,01/09/2014
428,02/09/2014
429,03/09/2014
430,04/09/2014
431,05/09/2014
432,08/09/2014
433,09/09/2014
434,10/09/2014
435,11/09/2014
436,12/09/2014
437,15/09/2014
438,16/09/2014
439,17/09/2014
440,18/09/2014
441,19/09/2014
442,22/09/2014
443,23/09/2014
444,24/09/2014
445,25/09/2014
446,26/09/2014
447,29/09/2014
448,30/09/2014
449,01/10/2014
450,02/10/2014
451,03/10/2014
452,06/10/2014
453,07/10/2014
454,08/10/2014
455,09/10/2014
456,10/10/2014
457,13/10/2014
458,14/10/2014
459,15/10/2014
460,16/10/2014
461,17/10/2014
462,20/10/2014
463,21/10/2014
464,22/10/2014
465,23/10/2014
466,24/10/2014
467,27/10/2014
468,28/10/2014
469,29/10/2014
470,30/10/2014
471,31/10/2014
472,03/11/2014
473,04/11/2014
474,05/11/2014
475,06/11/2014
476,07/11/2014
477,10/11/2014
478,11/11/2014
479,12/11/2014
480,13/11/2014
481,14/11/2014
482,17/11/2014
483,18/11/2014
484,19/11/2014
485,20/11/2014
486,21/11/2014
487,24/11/2014
488,25/11/2014
489,26/11/2014
490,27/11/2014
491,28/11/2014
492,01/12/2014
493,02/12/2014
494,03/12/2014
495,04/12/2014
496,05/12/2014
497,08/12/2014
498,09/12/2014
499,10/12/2014
500,11/12/2014
501,12/12/2014
502,15/12/2014
503,16/12/2014
504,17/12/2014
505,18/12/2014
506,19/12/2014
507,22/12/2014
508,23/12/2014
509,24/12/2014
510,29/12/2014
511,30/12/2014
512,31/12/2014
513,02/01/2015
514,05/01/2015
515,06/01/2015
516,07/01/2015
517,08/01/2015
518,09/01/2015
519,12/01/2015
520,13/01/2015
521,14/01/2015
522,15/01/2015
523,16/01/2015
524,19/01/2015
525,20/01/2015
526,21/01/2015
527,22/01/2015
528,23/01/2015
529,26/01/2015
530,27/01/2015
531,28/01/2015
532,29/01/2015
533,30/01/2015
534,02/02/2015
535,03/02/2015
536,04/02/2015
537,05/02/2015
538,06/02/2015
539,09/02/2015
540,10/02/2015
541,11/02/2015
542,12/02/2015
543,13/02/2015
544,16/02/2015
545,17/02/2015
546,18/02/2015
547,19/02/2015
548,20/02/2015
549,23/02/2015
550,24/02/2015
551,25/02/2015
552,26/02/2015
553,27/02/2015
554,02/03/2015
555,03/03/2015
556,04/03/2015
557,05/03/2015
558,06/03/2015
559,09/03/2015
560,10/03/2015
561,11/03/2015
562,12/03/2015
563,13/03/2015
564,16/03/2015
565,17/03/2015
566,18/03/2015
567,19/03/2015
568,20/03/2015
569,23/03/2015
570,24/03/2015
571,25/03/2015
572,26/03/2015
573,27/03/2015
574,30/03/2015
575,31/03/2015
576,01/04/2015
577,02/04/2015
578,07/04/2015
579,08/04/2015
580,09/04/2015
581,10/04/2015
582,13/04/2015
583,14/04/2015
584,15/04/2015
585,16/04/2015
586,17/04/2015
587,20/04/2015
588,21/04/2015
589,22/04/2015
590,23/04/2015
