,BNP.PA.Open,BNP.PA.High,BNP.PA.Low,BNP.PA.Close,BNP.PA.Volume,BNP.PA.Adjusted
2013-02-19,45.200001,45.799999,45.174999,45.625,2878682,33.695023
2013-02-20,45.5,45.875,44.325001,44.525002,3699626,32.882652
2013-02-21,44.099998,44.150002,42.419998,42.5,5926415,31.387148
2013-02-22,42.799999,43.889999,42.759998,43.630001,4350851,32.221672
2013-02-25,43.895,45.650002,43.384998,43.689999,6306810,32.26598
2013-02-26,41.169998,42.700001,40.349998,41.669998,9597217,30.77417
2013-02-27,42.154999,43.380001,41.41,43.154999,6243792,31.870876
2013-02-28,43.509998,43.700001,42.369999,43.105,4455634,31.833946
2013-03-01,42.810001,42.945,41.415001,42.369999,5418369,31.29113
2013-03-04,41.939999,42.744999,41.634998,42.5,3162771,31.387148
2013-03-05,43.099998,44.025002,42.985001,43.735001,5156454,32.299221
2013-03-06,43.535,44.169998,42.939999,43.02,3810954,31.771175
2013-03-07,43,43.57,42.700001,42.855,3478058,31.649319
2013-03-08,43.415001,44.849998,43.27,44.610001,5465620,32.945423
2013-03-11,44.384998,44.785,44.110001,44.395,2553034,32.78664
2013-03-12,44.195,44.799999,44.049999,44.16,2756053,32.613091
2013-03-13,43.919998,44.185001,43.560001,43.720001,3358928,32.288139
2013-03-14,44.200001,44.939999,44.099998,44.259998,4649118,32.686939
2013-03-15,44.334999,44.674999,43.880001,43.990002,6097027,32.487541
2013-03-18,42.5,42.91,41.950001,42.75,5978402,31.571772
2013-03-19,42.755001,42.755001,40.735001,40.955002,6753241,30.246128
2013-03-20,41.349998,42.419998,41.064999,42.240002,6615129,31.195129
2013-03-21,42.16,42.48,41.610001,42.02,3621540,31.032658
2013-03-22,41.755001,42.215,41.005001,41.174999,5023927,30.408602
2013-03-25,42.720001,42.75,39.5,39.924999,8242131,29.485449
2013-03-26,40,40.950001,39.700001,40.365002,6334417,29.810398
2013-03-27,40.375,40.59,38.650002,39.669998,8796747,29.297129
2013-03-28,39.685001,40.695,39.369999,40.040001,4790046,29.570385
2013-04-02,40.200001,41.18,39.639999,40.924999,5077551,30.22397
2013-04-03,40.639999,41.009998,39.884998,40.095001,4054540,29.611
2013-04-04,40.474998,41.355,39.540001,39.830002,5128772,29.415295
2013-04-05,39.990002,40.200001,38.514999,39.264999,5417445,28.998028
2013-04-08,39.5,39.919998,39.110001,39.16,3129826,28.920486
2013-04-09,39.509998,39.904999,39.154999,39.365002,3733712,29.071878
2013-04-10,39.639999,41.799999,39.5,41.465,6544709,30.622776
2013-04-11,41.584999,42.419998,41.299999,41.974998,5388852,30.99942
2013-04-12,41.825001,41.860001,40.59,40.724998,6182611,30.076265
2013-04-15,40.900002,41.174999,39.884998,40.330002,3958824,29.784552
2013-04-16,39.974998,40.900002,39.715,40.119999,3538698,29.629459
2013-04-17,40.400002,40.669998,38.009998,38.294998,7264982,28.281662
2013-04-18,38.5,39.450001,37.470001,38.290001,7728861,28.277969
2013-04-19,38.955002,39.450001,38.560001,38.965,5446174,28.776468
2013-04-22,39.555,40.02,38.779999,38.959999,4409094,28.772778
2013-04-23,39,41.25,39,41.060001,7476587,30.323673
2013-04-24,41.195,41.970001,40.259998,41.790001,6611233,30.862795
2013-04-25,41.945,42.169998,41.185001,41.799999,3581832,30.870176
2013-04-26,41.759998,41.950001,41.279999,41.580002,3638095,30.707705
2013-04-29,41.720001,42.48,41.595001,42.349998,4147788,31.276361
2013-04-30,42.695,43.060001,42.310001,42.310001,5113900,31.246822
2013-05-02,42.150002,43.669998,41.849998,42.869999,6603008,31.660397
2013-05-03,43.73,44,42.689999,43.889999,6269094,32.413689
2013-05-06,43.68,44,43.535,43.895,1990650,32.417377
2013-05-07,44,45.299999,43.945,44.950001,5293725,33.196522
2013-05-08,45.095001,45.5,44.299999,44.650002,3537855,32.974964
2013-05-09,44.555,45.025002,44.240002,44.540001,2186750,32.893726
2013-05-10,44.505001,45.18,44.125,44.669998,3483652,32.989731
