date,AI.PA,BN.PA,DG.PA,BNP.PA,SAF.PA
06/05/2013,64.713974,48.923744,30.712711,32.417377,32.939198
07/05/2013,64.674232,49.196159,31.013294,33.196522,32.904205
08/05/2013,64.740486,49.919758,31.252115,32.974964,33.188545
09/05/2013,64.588066,49.391956,31.169754,32.893726,33.818451
10/05/2013,64.766983,49.817604,31.04212,32.989731,34.334633
13/05/2013,64.800056,50.07299,30.922714,32.609394,34.304012
14/05/2013,64.86631,50.183659,31.05447,33.266678,34.557732
15/05/2013,64.839798,50.124065,31.19035,33.787331,34.684582
16/05/2013,65.616776,50.115559,31.058588,33.861187,35.222633
17/05/2013,66.526688,49.468571,31.313881,34.333843,35.091404
20/05/2013,66.704582,50.370941,31.655636,34.492626,35.292625
21/05/2013,66.567757,50.081501,31.733866,34.706268,35.800053
22/05/2013,66.540382,50.200684,31.305639,35.137379,35.598827
23/05/2013,65.774193,49.630318,30.679777,34.168335,35.37574
24/05/2013,66.328331,49.391956,30.877417,33.741039,35.314499
27/05/2013,66.738831,49.928276,31.182123,34.416321,35.366985
28/05/2013,67.087723,50.702946,32.36797,35.129749,36.101883
29/05/2013,66.342003,49.715443,32.405022,34.542221,35.900669
30/05/2013,67.026184,49.034416,32.940304,34.81691,36.342484
31/05/2013,67.970268,48.302303,32.689133,34.584187,35.953167
03/06/2013,67.778694,47.714909,32.524433,34.565109,35.877602
04/06/2013,66.998825,48.259735,32.7756,34.515514,35.579807
05/06/2013,66.417229,47.127522,31.935629,34.076771,35.468685
06/06/2013,65.883659,48.097996,31.758572,33.348087,35.335346
07/06/2013,66.417229,48.813072,32.767357,33.908909,35.277565
10/06/2013,66.601997,48.898205,32.672661,33.49688,36.002048
11/06/2013,66.143562,48.26825,32.199146,32.875008,35.446461
12/06/2013,66.177811,48.71944,31.836805,32.470608,35.802048
13/06/2013,66.116272,48.642818,31.787399,33.000908,36.082054
14/06/2013,65.616776,48.2342,31.783281,33.0238,36.410957
17/06/2013,66.403542,49.562218,32.248562,33.38242,36.873207
18/06/2013,66.458275,49.034416,32.318558,33.672371,36.664307
19/06/2013,66.273598,49.281288,31.952099,33.317562,36.535412
20/06/2013,63.913239,46.923206,30.881533,31.890701,35.522018
21/06/2013,63.407036,47.868145,30.313313,31.07045,35.21978
24/06/2013,62.46286,46.897675,29.790388,30.631712,34.513077
25/06/2013,63.318047,46.897675,30.959774,31.516825,35.233116
26/06/2013,64.159538,47.706394,31.696808,32.375225,35.597576
27/06/2013,64.788986,48.634304,31.960333,32.462971,36.042049
28/06/2013,64.905327,49.085491,31.750332,32.028049,35.668705
01/07/2013,64.925812,48.923744,32.157974,32.359962,36.042049
02/07/2013,64.624771,48.17461,31.869747,32.287476,36.139835
03/07/2013,64.542671,46.82106,31.416819,31.535894,36.064274
04/07/2013,65.507317,48.029888,32.23621,33.046688,37.144341
05/07/2013,64.33062,47.2467,31.626808,32.775818,36.904324
08/07/2013,65.29528,47.765991,32.347378,33.672371,37.535469
09/07/2013,65.993126,47.970299,32.133266,33.50069,37.877712
10/07/2013,65.876778,48.515129,32.252674,33.649479,37.877712
11/07/2013,66.86879,48.676872,32.81678,33.668556,38.046608
12/07/2013,66.615677,48.523636,32.388557,33.580807,37.917709
15/07/2013,66.766197,48.830109,32.594437,33.901276,38.295517
16/07/2013,66.417229,48.336357,32.400906,33.409126,37.913269
17/07/2013,66.841423,48.864155,32.528557,33.660923,37.691036
18/07/2013,67.34082,49.247234,32.615025,34.259903,38.446632
19/07/2013,67.689796,48.85564,32.697369,34.336205,38.468857
22/07/2013,67.532394,49.068466,32.993832,34.90847,38.69109
23/07/2013,67.032982,48.864155,32.68502,34.835987,38.402184
24/07/2013,67.525589,49.723961,33.191479,36.075905,37.824375
25/07/2013,67.162941,49.102516,33.203827,36.438343,38.219955
26/07/2013,67.354507,48.915234,33.310879,36.73592,38.419964
29/07/2013,66.622475,50.456066,33.319111,36.789333,38.642197
30/07/2013,68.996521,50.779564,33.640293,36.51083,38.91777
31/07/2013,68.26442,50.566738,33.426174,37.109802,39.237789
01/08/2013,68.825447,51.137108,33.669098,37.960575,39.46891
02/08/2013,68.962265,51.409515,33.60323,37.582882,39.353355
05/08/2013,68.722855,50.583763,33.487942,37.69352,38.953331
06/08/2013,68.312347,50.762531,33.105007,37.456982,38.473301
07/08/2013,68.654442,50.609303,32.940304,37.838497,38.291069
08/08/2013,68.688606,50.285812,33.652637,38.105556,38.802212
09/08/2013,69.167519,50.447559,33.693813,37.972023,38.579975
12/08/2013,69.064949,50.328373,33.842045,38.113186,38.273293
13/08/2013,69.988541,50.805099,34.014984,38.265789,37.953274
14/08/2013,70.022713,50.396481,34.352615,38.319202,38.215504
15/08/2013,70.022713,50.200684,34.192039,38.048332,38.046608
16/08/2013,71.014717,50.456066,34.340275,38.845695,38.0555
19/08/2013,70.433205,50.149605,33.887344,37.97966,38.313297
20/08/2013,69.885864,49.502625,33.253242,37.415012,37.77549
21/08/2013,69.851707,49.49411,33.183235,37.235706,38.459965
22/08/2013,71.254219,49.706936,33.500294,38.048332,38.824432
23/08/2013,71.904152,49.783546,33.413818,38.342094,38.971104
26/08/2013,72.075142,49.792061,33.385002,37.781269,38.766651
27/08/2013,70.467453,48.872669,32.598553,36.445969,38.135506
28/08/2013,69.270203,48.5662,32.396793,36.869453,37.522137
29/08/2013,69.167519,48.744972,32.475018,36.922863,37.77549
30/08/2013,68.079735,47.961784,32.174446,36.178917,37.348789
02/09/2013,69.099106,48.310814,32.800316,37.350159,38.011047
03/09/2013,69.064949,47.842606,32.767357,36.831299,38.086609
04/09/2013,69.167519,47.689377,32.960888,36.995354,38.059944
05/09/2013,68.168709,47.425472,33.265587,37.239517,38.291069
06/09/2013,69.064949,47.842606,33.817337,37.95295,38.717758
09/09/2013,68.962265,47.067932,33.739109,37.781269,38.766651
10/09/2013,70.193794,47.970299,34.163212,38.715981,39.202232
11/09/2013,70.091125,47.638294,34.377319,38.723606,39.157787
12/09/2013,69.714867,47.740452,34.410263,38.525219,38.668869
13/09/2013,69.885864,47.714909,34.595554,38.197117,38.882214
16/09/2013,70.159531,47.893681,34.846722,38.601524,39.491138
17/09/2013,69.543785,48.021374,34.83437,38.471806,39.451134
18/09/2013,71.048965,48.5662,34.70673,38.55574,39.602253
19/09/2013,71.254219,49.13657,35.398476,38.876213,39.82449
20/09/2013,71.596298,49.17062,35.497292,38.731236,40.188946
23/09/2013,71.08313,48.864155,35.056721,38.784653,38.873325
24/09/2013,71.08313,48.872669,35.382,38.983036,39.606697
25/09/2013,71.117378,48.310814,35.435532,39.204319,39.726707
26/09/2013,71.391052,47.825581,35.649643,38.792282,39.917828
27/09/2013,70.672714,47.195625,35.600235,38.830433,40.691208
30/09/2013,70.433205,47.365879,35.38612,38.151337,40.477863
01/10/2013,70.364792,47.510601,36.119041,38.799911,41.113453
02/10/2013,69.133369,46.804024,35.913166,39.005924,41.091225
03/10/2013,68.825447,46.659313,35.90905,38.593895,40.451191
04/10/2013,68.928116,47.221161,36.238453,39.005924,40.677872
07/10/2013,68.586021,46.659313,36.147869,38.960144,40.620083
08/10/2013,68.107101,45.969765,36.209633,38.570999,40.668987
09/10/2013,67.375076,45.118473,36.242569,39.295876,40.206734
10/10/2013,68.189194,45.467499,37.28019,40.737999,40.891212
11/10/2013,68.380775,45.16103,37.465473,40.745628,40.913441
14/10/2013,68.654442,45.527088,37.337833,40.974537,40.846775
15/10/2013,69.133369,45.152523,38.054283,41.333157,40.486752
16/10/2013,68.586021,44.122459,38.165466,41.432354,39.540028
17/10/2013,69.235939,44.735386,38.276634,41.394203,39.513359
18/10/2013,69.578033,45.603703,38.527805,41.432354,40.593422
21/10/2013,69.920128,45.458988,38.601917,41.02795,40.935658
22/10/2013,70.159531,46.148537,39.005447,41.34079,41.451248
23/10/2013,70.262215,46.429459,38.918964,40.440414,41.775715
24/10/2013,69.030693,46.676334,39.215431,41.348423,41.793491
25/10/2013,69.646454,47.076439,39.618954,40.707478,41.660145
28/10/2013,69.714867,47.28075,38.89838,40.219143,41.522366
29/10/2013,69.304352,47.459522,38.997204,40.829559,41.886829
30/10/2013,68.41494,46.165558,38.737801,40.264923,42.166843
31/10/2013,68.620201,46.497559,38.906616,41.615475,41.846832
01/11/2013,68.449188,46.233665,38.976612,41.317898,41.811264
04/11/2013,68.825447,45.850582,39.219551,41.188183,42.006836
05/11/2013,68.408134,45.476013,39.009552,40.615917,41.70459
06/11/2013,68.757027,45.790993,39.277191,40.753258,42.246849
07/11/2013,68.367081,45.629246,38.750149,40.91349,42.193516
08/11/2013,68.134468,45.731403,38.606045,40.516716,42.135735
11/11/2013,68.722855,46.071915,39.022682,40.860085,42.357971
12/11/2013,68.449188,45.935711,39.189335,40.646435,42.166843
13/11/2013,67.963463,45.9953,38.697693,40.371746,42.082394
14/11/2013,68.825447,46.437973,39.580982,41.531548,42.700211
15/11/2013,69.270203,46.846592,39.297657,41.569698,41.051228
18/11/2013,69.680611,47.416958,39.389324,41.775711,41.495693
19/11/2013,69.304352,47.263729,38.514381,41.043213,41.277901
20/11/2013,69.749046,47.093468,38.08107,41.134769,41.157898
21/11/2013,69.304352,46.53162,38.622692,41.287376,41.420139
22/11/2013,69.543785,46.701874,38.435207,41.714672,41.51347
25/11/2013,69.851707,46.727409,38.939342,41.913059,42.135735
26/11/2013,69.714867,45.782478,39.172672,41.836758,42.802441
27/11/2013,70.227959,45.6633,39.397655,41.935951,43.242466
28/11/2013,70.227959,45.697346,39.635147,42.11908,43.36692
29/11/2013,70.193794,45.527088,39.43515,42.15723,43.073574
02/12/2013,70.125381,45.441959,39.380989,42.035141,43.664711
03/12/2013,68.449188,44.607697,38.651871,40.692219,42.642433
04/12/2013,68.189194,44.556618,38.535206,40.234406,42.211292
05/12/2013,67.56665,44.531078,37.497772,39.562931,42.069061
06/12/2013,67.375076,44.539593,37.78109,40.440414,42.655758
09/12/2013,67.156136,44.462978,37.939411,40.730366,43.193573
10/12/2013,66.745628,44.062866,37.868584,40.638805,42.500195
11/12/2013,67.019295,43.833023,37.856087,40.463306,42.935783
12/12/2013,66.643051,43.798965,38.039402,40.325966,42.726871
13/12/2013,66.991943,43.475475,37.76025,40.50909,42.820217
16/12/2013,67.689796,43.926655,38.281059,41.142403,43.996449
17/12/2013,66.800369,43.049835,37.231113,40.242031,43.430779
18/12/2013,67.525589,43.13496,37.322781,41.050838,43.852783
