"","x"
"1",61.8704434837188
"2",61.2736463135549
"3",60.6294305967539
"4",60.6286686130441
"5",60.6518034684008
"6",60.6946679675825
"7",60.6980038383507
"8",60.6534821138722
"9",61.0918418984914
"10",60.8790000644386
"11",60.6838310215273
"12",60.6477197555075
"13",60.6801195131206
"14",60.2569005747449
"15",60.0500312688926
"16",60.150105049189
"17",60.1942912075582
"18",60.2590809370049
"19",60.6963678731884
"20",60.7320037925655
"21",60.7376403098059
"22",60.7312449021877
"23",60.2130709082337
"24",60.215830997479
"25",60.1585490168111
"26",60.2003557201927
"27",60.4567942509177
"28",60.8349392772596
"29",60.4848526988329
"30",60.4560582557176
"31",60.4013073177573
"32",60.7062450996268
"33",60.7702497279562
"34",60.7853003814404
"35",60.7540137595738
"36",60.721295753111
"37",60.6625177404923
"38",60.4723197889635
"39",60.4715837937635
"40",60.8122657136501
"41",60.9248629098351
"42",60.8584715154254
"43",60.878450143487
"44",60.8623636571151
"45",60.8042030010459
"46",60.7191465153037
"47",60.7566472280726
"48",60.8427769542416
"49",60.7092330174349
"50",60.8427769542416
"51",60.8455992634842
"52",60.8403022813749
"53",60.5213291123146
"54",60.6702041057488
"55",60.5114954197559
"56",60.7221524273885
"57",60.7035610427599
"58",60.7035610427599
"59",60.7648764944388
"60",60.8437662951454
"61",60.735519314294
"62",60.7185752143071
"63",60.6975353308904
"64",60.8836919856408
"65",60.6950631314232
"66",60.8540096088448
"67",60.869973004019
"68",60.8719454900575
"69",60.8969679853726
"70",60.7977460660561
"71",60.735519314294
"72",60.668678377806
"73",60.5762596654953
"74",60.2527182310134
"75",60.1934468500185
"76",60.0772497585896
"77",60.1463189785203
"78",60.2225024508146
"79",60.0703896610909
"80",60.1468445337774
"81",60.1468445337774
"82",59.9947609602142
"83",59.9947609602142
"84",60.0703896610909
"85",60.0155809600142
"86",59.9398766589106
"87",57.5958295924298
"88",59.5197818438017
"89",57.5828732411526
"90",57.5828732411526
"91",57.5828732411526
"92",57.5828732411526
"93",57.5828732411526
"94",57.5828732411526
"95",57.4812288948293
"96",57.2847064249263
"97",57.4458526833821
"98",57.4476028923876
"99",57.3879725199726
"100",57.4515973525821
"101",57.4283802772825
"102",57.4494093520932
"103",57.4591351795877
"104",57.4284082784825
"105",57.4515693513821
"106",57.4494093520932
"107",57.4515973525821
"108",57.5089836608825
"109",57.4709270823537
"110",57.4709270823537
"111",57.4621690798204
"112",57.4709270823537
"113",57.4621690798204
"114",57.4566024111537
"115",57.4596047899037
"116",57.4596047899037
"117",57.4596047899037
"118",57.4596047899037
"119",57.3212152704752
"120",57.8044831068103
"121",57.7849450442767
"122",57.8044831068103
"123",57.7849450442767
"124",57.8061364428103
"125",57.6304123910445
"126",57.8061364428103
"127",57.8241653305688
"128",57.8241653305688
"129",57.8241653305688
"130",57.8241653305688
"131",57.8241653305688
"132",57.8258186665688
"133",57.8258186665688
"134",57.8241653305688
"135",57.8241653305688
"136",57.8279878298188
"137",57.8395201170188
"138",57.8395201170188
"139",57.8394921158188
"140",57.6548062672253
"141",57.761863576941
"142",57.761863576941
"143",57.801083863233
"144",57.8159491974997
"145",57.801083863233
"146",57.801083863233
"147",57.7923258606997
"148",57.789551576033
"149",57.789551576033
"150",57.789551576033
"151",57.801055862033
"152",57.801083863233
"153",57.801083863233
"154",57.789551576033
"155",57.801055862033
"156",57.801083863233
"157",57.801083863233
"158",57.795339194033
"159",57.8436524428618
"160",57.8661487949723
"161",57.6888491057665
"162",57.6888491057665
"163",57.7189720262771
