"","x"
"1",93.4727580986989
"2",92.8053436921948
"3",92.5093239487884
"4",92.0331930764623
"5",91.7215251312603
"6",92.645602271295
"7",92.6673859797198
"8",92.6855814507127
"9",90.6027217917492
"10",90.6457973179822
"11",92.7432099930317
"12",92.7805954935892
"13",92.857194063199
"14",93.1656310595591
"15",92.7422130826918
"16",92.9693210282422
"17",93.106408701991
"18",93.2588215523857
"19",93.4109937673286
"20",91.1878268505556
"21",91.1934930143588
"22",91.1897428575297
"23",90.7662527480931
"24",90.7200905078164
"25",90.6556742296402
"26",90.7662427626531
"27",88.9718790831206
"28",88.7998663153213
"29",88.9286332540359
"30",88.9280603165198
"31",88.5663238315346
"32",88.7704996442258
"33",88.7438517792431
"34",88.67769364469
"35",88.6485000696786
"36",88.7221155899429
"37",88.7680486373426
"38",88.8054224116316
"39",88.8079919018459
"40",88.6963748249466
"41",88.5232337649931
"42",88.5805132909628
"43",88.7689605991114
"44",88.7373750326774
"45",88.8208997294981
"46",88.8496762122828
"47",88.840251723857
"48",88.8322950193303
"49",88.7676614320509
"50",88.8322950193303
"51",88.8094462097381
"52",88.80368163477
"53",88.6245957142814
"54",88.875706140247
"55",88.3882169952626
"56",88.850526370325
"57",88.8497079982173
"58",88.8497079982173
"59",88.8295342235373
"60",88.8409629199439
"61",88.7906810962201
"62",88.7763293326645
"63",88.8497079982173
"64",88.8013290926052
"65",88.8716160732214
"66",88.814512898185
"67",88.737197733291
"68",88.7707763670469
"69",88.8071948089531
"70",88.8295676301117
"71",88.7906810962201
"72",88.8638528698973
"73",88.8374446499776
"74",88.8133245077776
"75",88.5605765706047
"76",88.6353673906431
"77",88.6128661184461
"78",88.6150815899682
"79",88.5877040737825
"80",88.5870205593825
"81",88.5870205593825
"82",88.5877040737825
"83",88.5877040737825
"84",88.5877040737825
"85",88.598452971346
"86",88.4857506666675
"87",88.3182736417179
"88",88.3145368305179
"89",88.3072483296995
"90",88.3072483296995
"91",88.3072483296995
"92",88.3072483296995
"93",88.3072483296995
"94",88.3072483296995
"95",88.2608271691104
"96",87.9569090579892
"97",88.5076854238717
"98",88.5178140147875
"99",88.2566869620833
"100",88.5351875404538
"101",88.4297798260578
"102",88.5375961355695
"103",88.5453161313695
"104",88.4422525054937
"105",88.5227148610179
"106",88.5331246385695
"107",88.5351875404538
"108",88.519179972446
"109",88.5066175558901
"110",88.5066175558901
"111",88.4791154393081
"112",88.5066175558901
"113",88.4791154393081
"114",88.4894190918051
"115",88.4791154393081
"116",88.4367627114107
"117",88.4367627114107
"118",88.4791154393081
"119",88.1709119105377
"120",88.6244654729106
"121",88.6391683965772
"122",88.6244654729106
"123",88.6391683965772
"124",88.6244654729106
"125",88.4171613237904
"126",88.6244654729106
"127",88.617531492947
"128",88.617531492947
"129",88.617531492947
"130",88.617531492947
"131",88.617531492947
"132",88.617531492947
"133",88.617531492947
"134",88.617531492947
"135",88.617531492947
"136",88.617531492947
"137",88.657040415529
"138",88.657040415529
"139",88.6325609300931
"140",88.4231377839456
"141",88.815094121009
"142",88.815094121009
"143",88.7847241328453
"144",88.7847241328453
"145",88.7847241328453
"146",88.7847241328453
"147",88.7526973889299
"148",88.7526973889299
"149",88.7526973889299
"150",88.7526973889299
"151",88.7677268260761
"152",88.7847241328453
"153",88.7802526358453
"154",88.7526973889299
"155",88.7677268260761
"156",88.7847241328453
"157",88.7847241328453
"158",88.7526973889299
"159",88.7972865494012
"160",88.8144393402195
"161",88.5895906188571
"162",88.5895906188571
"163",88.5467030867256
"164",88.6676501852409
"165",88.7140903034871
"166",88.8507996946989
"167",88.8247429927165
"168",88.8448093283831
"169",88.8435562002805
"170",88.8137176806981
"171",88.8337840163648
"172",88.815094121009
"173",88.7637536919269
"174",88.7847241328453
"175",88.7802526358453
"176",88.7847241328453
"177",88.7847241328453
"178",88.7677268260761
"179",88.7526973889299
"180",88.7103446610325
"181",88.7103446610325
"182",88.7526973889299
"183",88.1698690082412
"184",88.1395489812669
"185",87.8779471662967
"186",87.8779471662967
"187",87.8561750134309
"188",87.871204450577
"189",87.865455964577
"190",87.8992340792463
"191",87.8732974984249
"192",88.1744059199498
"193",88.513885663958
"194",88.509414166958
"195",88.513885663958
"196",88.486383547376
"197",88.2116626673567
"198",88.5214893706554
"199",88.391691719185
"200",88.391691719185
"201",88.496687199873
"202",88.4791366427579
"203",88.0880936230682
"204",88.7542909120561
"205",88.7648702374197
"206",88.7648702374197
"207",88.7612248920197
"208",88.7612248920197
"209",88.7542909120561
"210",88.7542909120561
"211",88.7542909120561
"212",88.7542909120561
"213",88.7526823950561
"214",88.7536268570561
"215",88.7526823950561
"216",88.7526823950561
"217",88.7563717485561
"218",88.7526823950561
"219",88.7526823950561
"220",88.6820197623774
"221",85.5183596558528
"222",87.1923909704207
"223",88.7029084914911
"224",88.2960739844208
"225",86.870455048864
"226",86.7847455728546
"227",87.1843120404926
"228",87.3155820864016
"229",88.7163485686694
"230",88.7252230048333
"231",88.7252230048333
"232",88.7252230048333
"233",88.7252230048333
"234",88.676074890935
"235",88.6360807483213
"236",86.5070278554014
"237",86.8495855910851
"238",88.6585597363213
"239",88.7163485686694
"240",88.7252230048333
"241",88.7252230048333
"242",88.7252230048333
"243",88.7252230048333
"244",88.7252230048333
"245",88.5273368944532
"246",89.1208246060211
"247",89.1192160890211
"248",89.1192160890211
"249",89.0626320614025
"250",89.0475732714025
"251",89.1192160890211
"252",89.1192160890211
"253",89.1192160890211
"254",89.0626320614025
"255",89.0801472160162
"256",89.1192160890211
"257",89.1192160890211
"258",89.1192160890211
"259",89.1192160890211
"260",89.1192160890211
"261",89.1192160890211
"262",89.0801472160162
"263",87.317996389929
"264",89.0626320614025
"265",89.1181278661905
"266",88.9147754848571
"267",88.5509382976432
"268",88.5509382976432
"269",88.5518827596432
"270",88.5509382976432
"271",88.5509382976432
"272",88.5420638614793
"273",88.4865680566912
"274",88.5509382976432
"275",88.5509382976432
"276",88.4865680566912
"277",88.5420638614793
"278",88.4865680566912
"279",88.5040832113049
"280",88.5509382976432
"281",88.5546276511432
"282",88.5546276511432
"283",88.5525468146432
"284",88.5525468146432
"285",88.5525468146432
"286",88.5783951644559
"287",88.6491817347082
"288",88.6491817347082
"289",88.6491817347082
"290",88.6491817347082
"291",88.6945214542056
"292",88.6945214542056
"293",88.6915344626056
"294",88.6491817347082
"295",88.6491817347082
"296",90.1751338840889
"297",90.2365250041823
"298",90.2365250041823
"299",90.2625161768182
"300",90.2625161768182
"301",90.2625161768182
"302",90.3170735768672
"303",90.2625161768182
"304",90.3393210010964
"305",90.2543306304102
"306",90.3503463131147
"307",90.3499776100522
"308",90.2811419503925
"309",90.3013997343139
"310",90.3021949856738
"311",90.3013997343139
"312",90.2096836714915
"313",90.1427436622225
"314",90.2232843086915
"315",90.1150610678334
"316",90.1669039258351
"317",90.2126276997357
"318",90.3013997343139
"319",90.3013997343139
"320",90.3013997343139
"321",90.3124250463322
"322",90.3124250463322
"323",90.3064568463894
"324",90.3013997343139
"325",90.2745123912847
"326",90.3013997343139
"327",90.3124250463322
"328",90.3124250463322
"329",90.3013997343139
"330",90.3902618121516
"331",90.3852047000761
"332",90.3852047000761
"333",90.3583173570469
"334",90.2826606721646
"335",90.2826606721646
"336",90.2826606721646
"337",90.2826606721646
"338",90.3596853030469
"339",90.3852047000761
"340",90.2957241398979
"341",90.3596853030469
"342",90.3852047000761
"343",90.3852047000761
"344",90.3288049716037
"345",90.3583173570469
"346",90.3583173570469
"347",90.3852047000761
"348",90.3852047000761
"349",90.3852047000761
"350",90.2957241398979
"351",90.3583173570469
"352",90.3423310093768
"353",90.3423310093768
"354",90.3838438902667
"355",90.3533563213952
"356",90.3757930210177
"357",90.364012930351
"358",90.364012930351
"359",90.7351273448114
"360",90.7288163008114
"361",90.792047790122
"362",90.8094504199138
"363",90.7651756338194
"364",90.731580360427
"365",90.7244707358556
"366",90.3679427595308
"367",90.3533563213952
"368",90.3533563213952
"369",90.3423310093768
"370",90.3214515311476
"371",90.2655261850986
"372",90.3200835851476
"373",90.3423310093768
"374",90.1450631113365
"375",90.5280440994139
"376",90.4592790571724
"377",90.5280440994139
"378",90.5180698764805
"379",90.5218082520764
"380",90.5158400521335
"381",90.5218082520764
"382",90.5107829400581
"383",90.5107829400581
"384",90.5107829400581
"385",90.4838955970288
"386",90.4838955970288
"387",90.5107829400581
"388",90.4082389121465
"389",90.4082389121465
"390",90.3625151382459
"391",90.3765377767459
"392",90.4082389121465
"393",90.5107829400581
"394",90.4106920483865
"395",90.2525362007552
"396",90.2525362007552
"397",90.2386697179552
"398",90.2654933080908
"399",90.3512506571293
"400",90.4167443279524
"401",90.548775668341
"402",90.2386697179552
"403",90.2525362007552
"404",90.2525362007552
"405",90.2525362007552
"406",90.2525362007552
"407",90.2654933080908
"408",90.3825069750293
"409",90.3825069750293
"410",90.548775668341
"411",90.6055882076679
"412",90.6304013506846
"413",90.6400717742846
"414",90.6565899925872
"415",90.6297178362846
"416",90.6565899925872
"417",90.3536991502597
"418",90.9308591377232
"419",91.0269784878636
"420",91.0027413550713
"421",90.9609271844808
"422",90.8597185144376
"423",90.9516905059094
"424",91.0300133046662
"425",91.0321738399009
"426",91.0206810318233
"427",91.0237203055638
"428",91.0135550619638
"429",91.0008425288636
"430",90.9375375679707
"431",90.9651111744808
"432",91.0015260432636
"433",90.9710312564808
"434",91.0233131749662
"435",91.0233131749662
"436",91.0178563446233
"437",91.0206810318233
"438",91.0008425288636
"439",90.9053071990283
"440",90.7720597048462
"441",90.742922531211
"442",90.731529605011
"443",90.7322963904084
"444",90.7137517554084
"445",90.748814608711
"446",90.74598333108
"447",90.748814608711
"448",90.7401185626777
"449",90.75218805448
"450",90.736913171611
"451",90.748814608711
"452",90.685474622178
"453",90.6947113007494
"454",90.7048153727494
"455",90.7144352698084
"456",90.4153788074277
"457",90.7229048744031
"458",90.7167285534111
