,AIR.PA.DailyEqPL,FP.PA.DailyEqPL,MC.PA.DailyEqPL,OR.PA.DailyEqPL,SAN.PA.DailyEqPL
Cumulative Return,-0.201939862676319,0.0233647985107774,-0.549519270084806,-0.120807487264911,0.0903740060246525
Annualized Return,-0.0363778728049035,0.00380133791407999,-0.122782725627735,-0.0209287055575073,0.0143148089609471
Annualized Sharpe Ratio,-0.291011275952317,0.349928476262634,-0.410646679501428,-0.37164592688286,0.227791513048949
Annualized StdDev,0.125005028364825,0.0108631853991413,0.298998462076467,0.0563135609558392,0.0628417133252502
