"","x"
"1",70.0881710556655
"2",70.0233262020085
"3",69.9883989515406
"4",70.0464488917822
"5",69.7183041240463
"6",69.2889608824945
"7",69.2889608824945
"8",69.3858938521576
"9",68.9373686020285
"10",68.9821829093138
"11",69.4615526660848
"12",69.6016008314539
"13",69.7545659334109
"14",69.4919451008509
"15",69.5163395066691
"16",69.5046836598223
"17",69.4919451008509
"18",69.4886371487176
"19",68.9967233670615
"20",68.9191141183292
"21",68.9052395313006
"22",68.9191141183292
"23",68.8512360344103
"24",68.8512360344103
"25",68.7016133209672
"26",68.9050957769292
"27",68.4207868991116
"28",67.9883070373512
"29",68.2429541968428
"30",68.3617018203259
"31",68.8987076578073
"32",68.4178443799745
"33",68.319908253984
"34",68.0428891414766
"35",65.5275425601196
"36",68.1715925435496
"37",68.3381895866507
"38",68.2792629163962
"39",68.3038130834031
"40",68.2180188802994
"41",66.020870109252
"42",63.7112054761366
"43",63.0731801477168
"44",63.5203230119949
"45",62.9838300103172
"46",63.0369053370959
"47",63.0254093319346
"48",63.0123181428887
"49",63.0321130564727
"50",63.0123181428887
"51",63.0114402532935
"52",62.9919600099839
"53",63.0022811012472
"54",63.219925886147
"55",62.9336819453865
"56",63.0225672061911
"57",63.1202793769574
"58",63.0896548262074
"59",63.0606624297393
"60",62.9979800119839
"61",63.0271260394947
"62",63.0312146133043
"63",63.0892782975543
"64",63.0625544295562
"65",63.190565326941
"66",63.0141835859601
"67",63.5279563446616
"68",63.0704870176454
"69",63.0281614812819
"70",62.9938821103952
"71",62.9955499928947
"72",63.0818480163342
"73",63.1358350095065
"74",63.1231285111051
"75",63.3127082660559
"76",62.9174796204151
"77",62.8737149500182
"78",62.825391885598
"79",62.832369933777
"80",62.8309585034913
"81",62.8089870399198
"82",62.8258796000447
"83",62.8478510636161
"84",62.8103984702055
"85",62.8090630868956
"86",62.593681315282
"87",62.5388744325647
"88",62.5548302903507
"89",62.4946476781402
"90",62.4946476781402
"91",62.4946476781402
"92",62.4946476781402
"93",62.4946476781402
"94",62.4946476781402
"95",62.5166191417117
"96",62.4181888831499
"97",63.2215412756658
"98",63.4462889545189
"99",63.2999660820933
"100",63.2215412756658
"101",63.4561489669189
"102",63.3003471422602
"103",63.4462889545189
"104",63.4561489669189
"105",63.2215412756658
"106",63.3003471422602
"107",63.2215412756658
"108",63.1363526936846
"109",63.1363526936846
"110",63.1363526936846
"111",63.1363526936846
"112",63.1363526936846
"113",63.1363526936846
"114",63.1696717380962
"115",63.1363526936846
"116",63.1363526936846
"117",63.123384104256
"118",63.123384104256
"119",63.0333160488596
"120",62.9433282101036
"121",62.9972078845005
"122",62.9433282101036
"123",62.9972078845005
"124",62.9433282101036
"125",62.8955038160222
"126",62.9433282101036
"127",62.9109065811491
"128",62.9109065811491
"129",62.9013019981205
"130",62.8793305345491
"131",62.8793305345491
"132",62.8793305345491
"133",62.8793305345491
"134",62.8793305345491
"135",62.9013019981205
"136",62.8793305345491
"137",62.9013019981205
"138",62.8793305345491
"139",62.8793305345491
"140",63.0028990340303
"141",62.940934924178
"142",62.940934924178
"143",62.8450290377981
"144",62.8450290377981
"145",62.8450290377981
"146",62.8230575742266
"147",62.8230575742266
"148",62.8230575742266
"149",62.8230575742266
"150",62.8450290377981
"151",62.8450290377981
"152",62.8230575742266
"153",62.8230575742266
"154",62.8230575742266
"155",62.8230575742266
"156",62.8230575742266
"157",62.8230575742266
"158",62.8230575742266
"159",62.8230575742266
"160",62.9066295552794
"161",62.8435847829668
"162",62.8435847829668
"163",62.992432819795
"164",63.168900914593
"165",63.1637315671597
"166",63.1538715547597
"167",62.9706272308339
"168",62.940934924178
"169",63.0197407907724
"170",62.8870552497811
"171",62.940934924178
"172",62.940934924178
