res <- geneticProgramming(  functionSet = Fset,
+                             inputVariables = Var,
+                             constantSet = cFset,
+                             fitnessFunction = fF,
+                             stopCondition = makeTimeStopCondition(300))
STARTING genetic programming evolution run (Age/Fitness/Complexity Pareto GP search-heuristic) ...
evolution step 13100, fitness evaluations: 654950, best fitness: 0.000418, time elapsed: 1 minute, 47.57 seconds
evolution step 13200, fitness evaluations: 659950, best fitness: 0.000418, time elapsed: 1 minute, 48.37 seconds
evolution step 13300, fitness evaluations: 664950, best fitness: 0.000418, time elapsed: 1 minute, 49.14 seconds
evolution step 13400, fitness evaluations: 669950, best fitness: 0.000418, time elapsed: 1 minute, 49.95 seconds
evolution step 13500, fitness evaluations: 674950, best fitness: 0.000418, time elapsed: 1 minute, 50.64 seconds
evolution step 13600, fitness evaluations: 679950, best fitness: 0.000418, time elapsed: 1 minute, 51.36 seconds
evolution step 13700, fitness evaluations: 684950, best fitness: 0.000418, time elapsed: 1 minute, 52.12 seconds
evolution step 13800, fitness evaluations: 689950, best fitness: 0.000418, time elapsed: 1 minute, 52.86 seconds
evolution step 13900, fitness evaluations: 694950, best fitness: 0.000418, time elapsed: 1 minute, 53.64 seconds
evolution step 14000, fitness evaluations: 699950, best fitness: 0.000418, time elapsed: 1 minute, 54.43 seconds
evolution step 14100, fitness evaluations: 704950, best fitness: 0.000418, time elapsed: 1 minute, 55.2 seconds
evolution step 14200, fitness evaluations: 709950, best fitness: 0.000418, time elapsed: 1 minute, 56.01 seconds
evolution step 14300, fitness evaluations: 714950, best fitness: 0.000418, time elapsed: 1 minute, 56.79 seconds
evolution step 14400, fitness evaluations: 719950, best fitness: 0.000418, time elapsed: 1 minute, 57.51 seconds
evolution step 14500, fitness evaluations: 724950, best fitness: 0.000418, time elapsed: 1 minute, 58.23 seconds
evolution step 14600, fitness evaluations: 729950, best fitness: 0.000418, time elapsed: 1 minute, 58.97 seconds
evolution step 14700, fitness evaluations: 734950, best fitness: 0.000418, time elapsed: 1 minute, 59.79 seconds
evolution step 14800, fitness evaluations: 739950, best fitness: 0.000418, time elapsed: 2 minutes, 0.54 seconds
evolution step 14900, fitness evaluations: 744950, best fitness: 0.000418, time elapsed: 2 minutes, 1.36 seconds
evolution step 15000, fitness evaluations: 749950, best fitness: 0.000418, time elapsed: 2 minutes, 2.15 seconds
evolution step 15100, fitness evaluations: 754950, best fitness: 0.000418, time elapsed: 2 minutes, 2.92 seconds
