"","x"
"1",58.5401314096513
"2",59.1634075391408
"3",59.4188816550525
"4",59.2780795814744
"5",58.9448388047178
"6",58.1362654454915
"7",58.3057028354301
"8",58.4700917647846
"9",56.4724768716021
"10",56.4776605025128
"11",58.3278131076993
"12",58.6994636532671
"13",58.5539936938786
"14",58.3877687732423
"15",58.472414800553
"16",58.4347639309206
"17",58.3802387749089
"18",58.0615987022438
"19",57.0794188895831
"20",56.9692570511671
"21",56.9290173915492
"22",56.9699037161005
"23",57.5572225998243
"24",57.6267780216799
"25",57.9013230948535
"26",57.5374369362077
"27",56.3218237605357
"28",56.3001671313899
"29",56.3351059337037
"30",56.3265337526357
"31",57.3710843972478
"32",56.8438779394416
"33",56.5390819804944
"34",56.5249864301939
"35",56.2090093550499
"36",56.8420438161697
"37",56.5460874775944
"38",56.4786610065757
"39",56.4889429386865
"40",56.4682517051286
"41",56.1248832021227
"42",56.0784519395171
"43",56.0177699995732
"44",56.0605922608175
"45",55.9739516600012
"46",55.8590136382789
"47",55.8732910303261
"48",55.9776118748243
"49",55.9246414038172
"50",55.9776118748243
"51",55.9878611395126
"52",56.0085878993363
"53",56.8160662673804
"54",56.2868059072421
"55",56.2423780623071
"56",55.9127482843872
"57",55.8895814403314
"58",55.8942914324314
"59",55.9176056922344
"60",56.0365706822659
"61",55.9781502190589
"62",55.9781502190589
"63",55.8496076384357
"64",56.0644721446816
"65",56.3775016044324
"66",56.0412592867209
"67",56.1107119420141
"68",56.0644721446816
"69",56.0644721446816
"70",56.0130113815247
"71",55.9828602111589
"72",55.5842561958399
"73",55.2110004750409
"74",55.138884442391
"75",55.9690139609511
"76",56.2683924421692
"77",55.9476232688342
"78",55.9459647178868
"79",55.8167726515583
"80",55.8632353602576
"81",55.8672853548576
"82",55.7915341399363
"83",55.7874841453363
"84",55.8208226461583
"85",55.7539033818544
"86",55.7398350520211
"87",55.7384924706272
"88",55.7384924706272
"89",55.690072376439
"90",55.690072376439
"91",55.690072376439
"92",55.690072376439
"93",55.690072376439
"94",55.690072376439
"95",55.686022381839
