"","mtry","OOBError"
"2",2,1.50889374677741
"3",3,0.41822204588944
"4",4,0.176968308382489
"6",6,0.0815819061780728
"9",9,0.0454310610236413
"13",13,0.0235331891592873
"19",19,0.00917418005581957
"26",26,0.00411492699008149
