A1;A2;A3;A4;A5;A6;A7;A8;A9;A10
53,810001;53,799999;54,740002;53,549999;1421072;45,17762;0,064;0,7777;0,4487441;0,76
54,279999;54,639999;54,740002;53,220001;1752047;44,66301;0,067;0,7824;0,4487441;0,76
55,09;53,82;54,759998;53,82;1559022;45,05312;0,112;0,7788;0,4487441;0,76
54,810001;54,25;55,150002;54,189999;1765685;45,725437;0,07;0,7789;0,4487441;-0,15
54,709999;54,889999;55,400002;54,700001;1324334;45,493027;0,072;0,7783;0,4487441;-0,15
54,18;55,060001;55,299999;54,540001;1330867;45,410027;0,074;0,778;0,4487441;-0,15
54,27;54,630001;54,860001;53,5;1845372;44,970123;0,075;0,7679;0,4487441;-0,15
53,549999;54,169998;54,98;54,02;1279211;45,044819;0,082;0,7682;0,4487441;-0,15
53,669998;54,5;54,68;53,200001;2153705;44,447212;0,078;0,7658;0,4487441;-0,15
54,080002;53,509998;53,790001;52,98;2881229;44,546814;0,082;0,7642;0,4487441;-0,15
54,27;53,549999;54,41;53,490002;1617040;44,887119;0,086;0,7618;0,4487441;-0,15
54,459999;54;54,540001;53,889999;1776590;45,044819;0,082;0,7635;0,4487441;-0,15
55,68;54,099998;54,52;53,639999;1783798;45,202518;0,083;0,7642;0,4487441;-0,15
55,119999;56,299999;56,669998;55,68;5580351;46,215141;0,08;0,7616;0,4487441;-0,15
56,599998;56,25;56,549999;54,799999;4528827;45,750332;0,078;0,7668;0,4487441;-0,15
58,720001;55,240002;56,75;55,189999;4114419;46,978752;0,08;0,7645;0,4487441;-0,15
58,630001;56,689999;58,720001;56,27;3842711;48,73838;0,083;0,7645;0,4487441;-0,15
59,57;58,599998;59,07;58;2346189;48,663681;0,082;0,7674;0,4487441;-0,15
59,25;58,5;59,75;58,450001;2949276;49,44389;0,079;0,7684;0,4487441;-0,15
58,389999;59,5;59,52;58,880001;2702498;49,178288;0,083;0,7695;0,4487441;-0,15
57,619999;59,060001;59,299999;57,869999;2287375;48,464481;0,083;0,7689;0,4487441;-0,15
58,900002;58,080002;58,389999;57,5;1548623;47,825363;0,082;0,7676;0,4487441;-0,15
58,009998;57,98;58,990002;57,740002;1453075;48,887783;0,085;0,7633;0,4487441;-0,15
57,43;58,91;59,18;57,849998;1920894;48,149067;0,102;0,7584;0,4487441;0,06
57,540001;57,48;58,209999;56,830002;2541939;48,88969;0,078;0,7651;0,4487441;0,06
57,470001;57,529999;57,580002;56,880001;1920916;48,983337;0,077;0,7625;0,4487441;0,06
57,790001;57,5;57,82;57,299999;663060;48,923744;0,083;0,7649;0,4487441;0,06
58,639999;57,459999;58;57,060001;1286729;49,196159;0,075;0,7642;0,4487441;0,06
58,02;57,740002;58,759998;57,52;1222105;49,919758;0,064;0,7591;0,4487441;0,06
58,52;58,34;58,459999;57,919998;814806;49,391956;0,072;0,7636;0,4487441;0,06
58,82;58,23;58,709999;58,060001;964889;49,817604;0,074;0,7709;0,4487441;0,06
58,950001;58,599998;59,25;58,540001;1122544;50,07299;0,086;0,7702;0,4487441;0,06
58,880001;59,259998;59,549999;58,400002;1110930;50,183659;0,081;0,7705;0,4487441;0,06
58,869999;59;59,169998;58,529999;797632;50,124065;0,078;0,7775;0,4487441;0,06
58,110001;59,02;59,259998;58,57;1122778;50,115559;0,082;0,7742;0,4487441;0,06
59,169998;58,669998;58,700001;57,82;2969419;49,468571;0,066;0,7799;0,4487441;0,06
58,830002;58,169998;59,169998;57,880001;974879;50,370941;0,069;0,7778;0,4487441;0,06
58,970001;59;59,200001;58,380001;1320508;50,081501;0,076;0,7768;0,4487441;0,06
58,299999;58,779999;59,200001;58,380001;928590;50,200684;0,083;0,7765;0,4487441;0,06
58,02;58,009998;58,490002;57,669998;1702674;49,630318;0,078;0,7751;0,4487441;0,06
58,650002;58,610001;58,900002;57,669998;1114005;49,391956;0,081;0,7735;0,4487441;0,06
59,560001;58,779999;59,119999;58,490002;712409;49,928276;0,082;0,7735;0,4487441;0,06
58,400002;59;60;58,82;1786104;50,702946;0,084;0,7778;0,4487441;0,06
57,599998;59,099998;59,400002;58,23;1302677;49,715443;0,076;0,7712;0,4487441;0,06
56,740002;58,040001;58,560001;57,599998;1593200;49,034416;0,073;0,766;0,4487441;0,06
56,049999;57,799999;57,799999;56,5;2196067;48,302303;0,114;0,7716;0,4487441;0,06
56,689999;56,5;57,130001;55,330002;1727357;47,714909;0,078;0,7675;0,4487441;0,16
55,360001;56,310001;57,169998;56,25;1257784;48,259735;0,078;0,7651;0,4487441;0,16
56,5;56,279999;56,669998;55,360001;1548965;47,127522;0,081;0,7642;0,4487441;0,16
57,34;56,5;57,48;56,450001;2454186;48,097996;0,083;0,7579;0,4487441;0,16
57,439999;56,66;57,66;56,099998;1844242;48,813072;0,078;0,7564;0,4487441;0,16
56,700001;56,919998;57,639999;56,5;1391363;48,898205;0,082;0,7579;0,4487441;0,16
57,23;57,459999;57,459999;55,939999;1737609;48,26825;0,075;0,7534;0,4487441;0,16
57,139999;56,82;57,759998;56,68;1324689;48,71944;0,077;0,7498;0,4487441;0,16
56,66;56,689999;57,25;56,369999;1468863;48,642818;0,074;0,7519;0,4487441;0,16
58,220001;57,25;57,259998;56,369999;1127160;48,2342;0,075;0,7496;0,4487441;0,16
57,599998;56,790001;58,360001;56,790001;1746479;49,562218;0,08;0,7492;0,4487441;0,16
57,889999;57,639999;57,93;57,34;1456904;49,034416;0,073;0,7467;0,4487441;0,16
55,119999;57,860001;58,02;56,700001;1398386;49,281288;0,082;0,746;0,4487441;0,16
56,23;56,740002;56,900002;54,98;2279436;46,923206;0,082;0,759;0,4487441;0,16
55,09;56,639999;57,869999;56,209999;4702589;47,868145;0,084;0,7613;0,4487441;0,16
55,09;56,139999;56,599998;54,709999;2528653;46,897675;0,084;0,7638;0,4487441;0,16
56,040001;55,400002;55,43;54,630001;1840631;46,897675;0,079;0,7649;0,4487441;0,16
57,130001;55,099998;56,200001;54,860001;1643761;47,706394;0,084;0,7691;0,4487441;0,16
57,66;55,959999;57,380001;55,82;1693341;48,634304;0,086;0,7691;0,4487441;0,16
57,470001;57,240002;57,98;56,799999;2042395;49,085491;0,208;0,7693;0,4487441;0,16
56,59;57,68;58,310001;57,419998;1353176;48,923744;0,085;0,7671;0,4487441;-0,3
55;56,610001;56,889999;56,150002;1729225;48,17461;0,082;0,7673;0,4487441;-0,3
56,419998;56,459999;56,5;54,5;3058906;46,82106;0,082;0,771;0,4487441;-0,3
55,5;55,43;56,830002;55,040001;2465851;48,029888;0,087;0,7744;0,4487441;-0,3
56,110001;56,349998;56,75;55,5;1588617;47,2467;0,087;0,7791;0,4487441;-0,3
56,349998;55,700001;56,470001;55,560001;1589333;47,765991;0,084;0,7773;0,4487441;-0,3
56,990002;56,209999;56,639999;55,939999;1426513;47,970299;0,083;0,7821;0,4487441;-0,3
57,18;56,41;57,25;56,34;1448760;48,515129;0,088;0,7777;0,4487441;-0,3
57;57,66;57,93;56,82;1859116;48,676872;0,09;0,7669;0,4487441;-0,3
57,360001;57,669998;57,75;56,919998;910653;48,523636;0,087;0,7661;0,4487441;-0,3
56,779999;57,25;57,419998;56,889999;946228;48,830109;0,086;0,7665;0,4487441;-0,3
57,400002;57,310001;57,41;56,68;934368;48,336357;0,083;0,7612;0,4487441;-0,3
